RESTAURANT,SERVICE TYPE,Last Serviced,NEXT SERVICE NEEDED BY,NEXT SERVICE NEEDED BY,NEXT SERVICE NEEDED BY,NEXT SERVICE NEEDED BY,NEXT SERVICE NEEDED BY,FREQUENCY LABEL,SCHEDULING,NOTES
Delilah (West Hollywood),Fire Suppression & Extinguishers,9/26/2025,3/25/2026,9/25/2026,3/25/2027,9/25/2027,3/25/2028,SEMIANNUALLY,MONDAYS (10AM-5PM),
,Grease Trap Pumping,9/4/2025,12/3/2025,3/3/2026,6/3/2026,9/3/2026,12/3/2026,QUARTERLY,MONDAYS (10AM-5PM),TECH MUST PROVIDE BEFORE AND AFTER PHOTOS
,Hood Cleaning,9/8/2025,12/7/2025,3/7/2026,6/7/2026,9/7/2026,12/7/2026,QUARTERLY,MONDAYS (10AM-5PM),
,Hot Line Maintenance,9/22/2025,12/21/2025,3/21/2026,6/21/2026,9/21/2026,12/21/2026,QUARTERLY,MONDAYS (10AM-5PM),
,HVAC Maintenance,9/6/2025,12/5/2025,3/5/2026,6/5/2026,9/5/2026,12/5/2026,QUARTERLY,MONDAYS (10AM-5PM),
,Hydro Jet Cleaning AM,9/3/2025,12/2/2025,3/2/2026,6/2/2026,9/2/2026,12/2/2026,QUARTERLY,MONDAYS (10AM-5PM),
,Ice Machine Maintenance,9/19/2025,12/18/2025,3/18/2026,6/18/2026,9/18/2026,12/18/2026,QUARTERLY,MONDAYS (10AM-5PM),
,Monthly Painting,10/21/2025,11/20/2025,12/20/2025,1/20/2026,2/20/2026,3/20/2026,MONTHLY,MONDAYS (10AM-5PM),
,Pest Control,12/1/2025,12/15/2025,12/29/2025,1/12/2026,1/26/2026,2/9/2026,BI-WEEKLY,MONDAYS (10AM-5PM),
,Pressure Washing,10/28/2025,11/11/2025,11/25/2025,12/9/2025,12/23/2025,1/6/2026,BI-WEEKLY,MONDAYS (10AM-5PM),
,Refrigeration Maintenance,11/24/2025,2/24/2026,5/24/2026,8/24/2026,11/24/2026,2/24/2027,QUARTERLY,MONDAYS (10AM-5PM), 
,Upholstery Cleaning,11/17/2021,12/1/2025,12/15/2025,12/29/2025,1/12/2026,1/26/2026,BI-WEEKLY,MONDAYS (10AM-5PM),
